Section,Bridges,Aqueducts,Pumps,next turning back,Turning Points,next turning forward,Tunnels,Lock Status,Lockage,Latitude,Longitude,Boat Hires,Marina,Hire names,Marina names
Out of System,0,0,0,1,1,1,0,0,0,,,0,,,
"Lock 1, Hanham Lock",0,0,0,30,1,1,0,1,0,51.42853307,-2.510166968,0,,,
139,0,0,0,29,0,1,0,0,0,51.426327,-2.508356,0,,,
138,0,0,0,28,0,2,0,0,0,51.428014,-2.500576,0,,,
137,1,0,0,27,0,3,0,0,0,51.42658998,-2.488109743,0,,,
"Lock 2, Keynsham Lock",0,0,0,26,0,4,0,1,0,51.41972831,-2.492017435,0,,,
136,3,0,0,25,0,5,0,0,0,51.41880123,-2.490681229,0,,,
135,1,0,0,24,0,6,0,0,0,51.42118406,-2.483818845,0,,,
134,0,0,0,23,0,7,0,0,0,51.41896836,-2.47181304,0,,,
133,2,0,0,22,0,8,0,0,0,51.41675266,-2.459807235,0,,,
"Lock 3, Swineford Lock",0,0,0,21,0,9,0,1,0,51.41817243,-2.444681488,0,,,
132,0,0,0,20,0,10,0,0,0,51.41393378,-2.443881923,0,,,
"Lock 4, Saltford Lock",0,0,0,19,0,11,0,1,0,51.40969513,-2.443082358,0,,,
131,0,0,0,18,0,12,0,0,0,51.40696485,-2.446348711,0,,,
130,1,0,0,17,0,13,0,0,0,51.40423458,-2.449615064,0,,,
"Lock 5, Kelston Lock",0,0,0,16,0,14,0,1,0,51.40057768,-2.448786199,0,,,
129,0,0,0,15,0,15,0,0,0,51.397106,-2.446186,0,85,,Saltford Marina
128,0,0,0,14,0,16,0,0,0,51.392143,-2.435596,0,,,
127,1,0,0,13,0,17,0,0,0,51.3915433,-2.426958697,0,,,
126,2,0,0,12,0,18,0,0,0,51.3901216,-2.408042056,0,50,,Bath Marina
"Lock 6, Weston Lock",0,0,0,11,0,19,0,1,0,51.38256926,-2.396954873,0,,,
125,1,0,0,10,0,20,0,0,0,51.38777766,-2.405612764,0,,,
124,3,0,0,9,0,21,0,0,0,51.38232128,-2.388391251,0,,,
123,4,0,0,8,0,22,0,0,0,51.38414888,-2.37775073,0,,,
122,4,0,0,7,0,23,0,0,0,51.37923558,-2.364804705,0,,,
"Lock 13, Bath Top Lock",0,0,0,6,0,24,0,1,0,51.38045155,-2.349022028,0,,,
"Lock 12, Pulteney Gardens Lock",0,0,0,5,0,25,0,1,0,51.37978065,-2.348936601,0,,,
"Lock 11, Horse Shoe Bridge Lock",0,0,0,4,0,26,0,1,0,51.37891849,-2.349178796,0,,,
"Lock 10, Wash House Lock",0,0,0,3,0,27,0,1,0,51.37719941,-2.35133548,0,,,
"Lock 8/9, Bath Deep Lock",0,0,0,2,0,28,0,1,0,51.37693878,-2.35236428,0,,,
"Lock 7, Bath Bottom Lock",0,0,0,1,0,29,0,1,0,51.37717024,-2.35462877,0,,,
121,8,0,2,1,1,30,0,0,0,51.37785815,-2.352946826,0,,,
120,3,0,0,0,1,1,2,0,0,51.384891,-2.348442254,4,4,"Bath Canal Boat Company, Anglo Welsh",Bath Narrowboats
119,1,0,0,2,0,1,0,0,0,51.39164013,-2.34115347,0,,,
118,1,0,0,1,0,2,0,0,0,51.39425467,-2.332699157,0,,,
117,2,0,0,2,2,3,0,0,0,51.39523927,-2.317621199,4,,"Bloomsbury Canal Boats Ltd, Bath Narrowboats, Hunky dory days",
116,0,0,0,1,0,1,0,0,0,51.38721245,-2.310511117,0,,,
115,1,0,2,3,1,2,0,0,0,51.37918563,-2.303401035,0,,,
114,1,0,0,2,0,1,0,0,0,51.37653439,-2.302211643,0,,,
113,3,0,0,1,0,2,0,0,0,51.36377226,-2.310210333,7,,Anglo Welsh (Bath),
112,0,2,0,9,1,3,0,0,0,51.36040291,-2.310360601,0,,,
111,1,0,0,8,0,1,0,0,0,51.34990018,-2.311786338,0,,,
110,0,0,0,7,0,2,0,0,0,51.34524909,-2.301678267,0,,,
109,1,0,0,6,0,3,0,0,0,51.340598,-2.291570195,0,,,
108,0,2,0,5,0,4,0,0,0,51.33910319,-2.282545232,0,,,
107,2,0,0,4,0,5,0,0,0,51.34207337,-2.2661391,0,,,
"Lock 14, Bradford On Avon Lock",0,0,0,3,0,6,0,1,0,51.34118432,-2.251929852,0,,,
106,1,0,1,2,0,7,0,0,0,51.34119675,-2.252000981,9,,"Black Prince Holidays Ltd, Wiltshire Narrowboats",
105,2,0,0,1,0,8,0,0,0,51.33677016,-2.245361431,0,,,
104,0,0,0,5,1,9,0,0,0,51.33453431,-2.227593868,20,,Sally Narrowboats,
103,1,0,0,4,0,1,0,0,0,51.33458734,-2.214676232,0,,,
102,3,2,0,3,0,2,0,0,0,51.33549246,-2.207238198,13,60,Hilperton Marina (ABC boat hire),Hilperton Marina
101,2,0,0,2,0,3,0,0,0,51.34235325,-2.196286512,26,,"Nuthatch, Canal boat holidays.net",
100,1,0,0,1,0,4,0,0,0,51.34403116,-2.187387641,0,,,
99,2,0,0,49,1,5,0,0,0,51.3456926,-2.170132231,0,,,
98,1,1,0,48,0,1,0,0,0,51.34702116,-2.152734364,0,,,
"Lock 16, Harris Lock",0,0,0,47,0,2,0,1,0,51.347469,-2.140110876,0,,,
"Lock 15, Semington Lock",0,0,0,46,0,3,0,1,0,51.34797785,-2.143829435,0,,,
97,2,1,1,45,0,4,0,0,0,51.3479623,-2.143667087,0,,,
96,3,0,0,44,0,5,0,0,0,51.3468622,-2.127840613,0,,,
95,1,0,0,43,0,6,0,0,0,51.34962264,-2.116607646,0,,,
"Lock 17, Seend Bottom Lock",0,0,0,42,0,7,0,1,0,51.35180357,-2.105831666,0,,,
"Lock 18, Seend Lock",0,0,0,41,0,8,0,1,0,51.35156669,-2.100925675,0,,,
Lock 19. Seend Lock,0,0,0,40,0,9,0,1,0,51.3514161,-2.097490569,0,,,
94,2,0,1,39,0,10,0,0,0,51.35165147,-2.102027329,0,,,
"Lock 21, Seend Lock",0,0,0,38,0,11,0,1,0,51.35230687,-2.091580751,0,,,
"Lock 20, Seend Lock",0,0,0,37,0,12,0,1,0,51.35167387,-2.094584158,0,,,
93,2,0,0,36,0,13,0,0,0,51.35277806,-2.089277704,0,,,
92,2,0,0,35,0,14,0,0,0,51.354886,-2.075939315,0,,,
91,2,1,0,34,0,15,0,0,0,51.35563054,-2.061297092,0,,,
"Lock 22, Lower Foxhangers Lock",0,0,0,33,0,16,0,1,0,51.35423972,-2.050433299,0,,,
"Lock 23, Foxhangers Lock",0,0,0,32,0,17,0,1,0,51.35391827,-2.04639141,0,,,
"Lock 24, Devizes Lock",0,0,0,31,0,18,0,1,0,51.35336361,-2.043673203,0,,,
"Lock 25, Devizes Lock",0,0,0,30,0,19,0,1,0,51.35306732,-2.041964526,0,,,
90,4,0,1,29,0,20,0,0,0,51.35408305,-2.050923277,18,250,Foxhangers Canal holidays,Caen Hill Marina
"Lock 26, Devizes Lock",0,0,0,28,0,21,0,1,0,51.35280606,-2.04027394,0,,,
"Lock 27, Marsh Lane Lock",0,0,0,27,0,22,0,1,0,51.35251254,-2.037959291,0,,,
"Lock 35, Devizes Lock",0,0,0,26,0,23,0,1,0,51.35224585,-2.026529339,0,,,
"Lock 28, Devizes Lock",0,0,0,25,0,24,0,1,0,51.35217128,-2.034574018,0,,,
"Lock 34, Devizes Lock",0,0,0,24,0,25,0,1,0,51.35221892,-2.027468471,0,,,
"Lock 33, Lloyds Lock",0,0,0,23,0,26,0,1,0,51.35218597,-2.028417415,0,,,
"Lock 30, Devizes Lock",0,0,0,22,0,27,0,1,0,51.35210676,-2.031275123,0,,,
"Lock 29, Devizes Lock",0,0,0,21,0,28,0,1,0,51.35207661,-2.032202834,0,,,
"Lock 32, Devizes Lock",0,0,0,20,0,29,0,1,0,51.35215944,-2.029349066,0,,,
"Lock 31, Devizes Lock",0,0,0,19,0,30,0,1,0,51.35213678,-2.030351862,0,,,
89,1,0,0,18,0,31,0,0,0,51.35220382,-2.034903484,0,,,
"Lock 46, A P Herbert Lock",0,0,0,17,0,32,0,1,0,51.35262627,-2.012878956,0,,,
"Lock 45, Cave Lock",0,0,0,16,0,33,0,1,0,51.35255282,-2.015463837,0,,,
"Lock 44, Sir Hugh Stockwell",0,0,0,15,0,34,0,1,0,51.35248026,-2.017997884,0,,,
"Lock 43, Queen Elizabeth Lock",0,0,0,14,0,35,0,1,0,51.35246579,-2.019049758,0,,,
