Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Latitude,Longitude
0,0,0,0,0,0,,
1,4,0,0,0,0,51.45129772,-0.972180655
"Lock 107, Blakes Lock",0,0,0,0,0,,
"Lock 106, County Lock",0,0,0,0,0,,
2,2,0,0,0,0,51.44354932,-0.974400111
3,2,0,0,0,0,51.43577747,-0.97690565
4,2,0,0,0,0,51.43496975,-0.991531607
"Lock 105, Fobney Lock",0,0,0,0,0,,
5,3,0,0,0,0,51.43618595,-1.002149831
"Lock 104, Southcote Lock",0,0,0,0,0,,
6,1,0,0,0,0,51.43198286,-1.02116082
7,2,0,0,0,0,51.43266124,-1.0297997
"Lock 103, Burghfield Lock",0,0,0,0,0,,
8,1,0,0,0,0,51.43415491,-1.049066496
9,1,0,0,0,0,51.43381059,-1.053620747
"Lock 102, Garston Lock",0,0,0,0,0,,
10,1,0,0,1,0,51.43077177,-1.067690007
"Lock 101, Sheffield Lock",0,0,0,0,0,,
11,1,0,0,0,0,51.42598233,-1.074844144
"Lock 100, Sulhamstead Lock",0,0,0,0,0,,
12,2,0,0,0,0,51.42283744,-1.090951955
13,2,0,0,1,0,51.41826831,-1.100938479
"Lock 99, Tyle Mill Lock",0,0,0,0,0,,
14,2,0,0,0,0,51.41334489,-1.112881286
"Lock 98, Ufton Lock",0,0,0,0,0,,
15,2,0,0,0,0,51.40560061,-1.125243126
"Lock 97, Towney Lock",0,0,0,0,0,,
16,1,0,0,1,0,51.40045624,-1.13303204
"Lock 95, Aldermaston Lock",0,0,0,0,0,,
"Lock 96, Padworth Middle Lock",0,0,0,0,0,,
17,1,0,0,0,0,51.40003572,-1.139696286
18,1,0,0,0,0,51.39577537,-1.152547148
19,1,0,0,0,0,51.39432982,-1.166397232
20,5,0,0,0,0,51.39493341,-1.180050464
"Lock 94, Woolhampton Lock",0,0,0,0,0,,
21,2,0,0,1,0,51.39323486,-1.194424459
"Lock 93, Heales Lock",0,0,0,0,0,,
22,1,0,0,1,0,51.39288012,-1.210322317
"Lock 92, Midgham Lock",0,0,0,0,0,,
23,6,0,0,0,0,51.39339233,-1.223908676
"Lock 91, Colthrop Lock",0,0,0,0,0,,
24,2,0,0,0,0,51.39361185,-1.237707294
25,3,0,0,1,0,51.39256853,-1.249269102
"Lock 90, Monkey Marsh Lock",0,0,0,0,0,,
26,0,0,0,0,0,,
"Lock 89, Widmead Lock",0,0,0,0,0,,
27,3,0,0,1,0,51.39601752,-1.28209783
"Lock 88, Bulls Lock",0,0,0,0,0,,
28,4,0,0,0,0,51.39994128,-1.292598806
