Section,Bridges,Aqueducts,Pumps,Turning Points,Tunnels,Boat Hires,Marina,Lock Status,Lockage,Latitude,Longitude
0,0,0,0,0,0,0,,0,0,,
1,4,0,0,0,0,0,,0,0,51.45129772,-0.972180655
"Lock 107, Blakes Lock",0,0,0,0,0,0,,1,0,51.456101873362101,-0.954543497664135
"Lock 106, County Lock",0,0,0,0,0,0,,1,0,51.451142769424166,-0.973639128490762
2,2,0,0,0,0,0,,0,0,51.44354932,-0.974400111
3,2,0,0,0,0,0,,0,0,51.43577747,-0.97690565
4,2,0,0,0,0,0,,0,0,51.43496975,-0.991531607
"Lock 105, Fobney Lock",0,0,0,0,0,0,,1,0,51.434445520143306,-0.986259419780196
5,3,0,0,0,0,0,,0,0,51.43618595,-1.002149831
"Lock 104, Southcote Lock",0,0,0,0,0,0,,1,0,51.435990786409668,-1.004529498860731
6,1,0,0,0,0,0,,0,0,51.43198286,-1.02116082
7,2,0,0,0,0,0,,0,0,51.43266124,-1.0297997
"Lock 103, Burghfield Lock",0,0,0,0,0,0,,1,0,51.358641360062627,-1.624858017325119
8,1,0,0,0,0,0,,0,0,51.433188017895311,-1.032383863607673
9,1,0,0,0,0,0,,0,0,51.357499601188067,-1.628038721777476
"Lock 102, Garston Lock",0,0,0,0,0,0,,1,0,51.43415491,-1.049066496
10,1,0,0,1,0,0,,0,0,51.43381059,-1.053620747
"Lock 101, Sheffield Lock",0,0,0,0,0,0,,1,0,51.431930159564189,-1.058001176260456
11,1,0,0,0,0,0,,0,0,51.357600090542604,-1.63184365204603
"Lock 100, Sulhamstead Lock",0,0,0,0,0,0,,1,0,51.43077177,-1.067690007
12,2,0,0,0,0,0,,0,0,51.430896921987028,-1.068745227382845
13,2,0,0,1,0,0,,0,0,51.42598233,-1.074844144
"Lock 99, Tyle Mill Lock",0,0,0,0,0,0,,1,0,51.424673002769111,-1.0848698807316
14,2,0,0,0,0,0,,0,0,51.42283744,-1.090951955
"Lock 98, Ufton Lock",0,0,0,0,0,0,,1,0,51.41826831,-1.100938479
15,2,0,0,0,0,0,,0,0,51.418531169281607,-1.100582399604403
"Lock 97, Towney Lock",0,0,0,0,0,0,,1,0,51.41334489,-1.112881286
16,1,0,0,1,0,0,,0,0,51.413355708180177,-1.113289571456517
"Lock 95, Aldermaston Lock",0,0,0,0,0,0,,1,0,51.40560061,-1.125243126
"Lock 96, Padworth Middle Lock",0,0,0,0,0,0,,1,0,51.407794553822491,-1.124474124054868
17,1,0,0,0,0,0,,0,0,51.40045624,-1.13303204
18,1,0,0,0,0,0,,0,0,51.400199966091627,-1.137448573450082
19,1,0,0,0,0,0,,0,0,51.400688097249329,-1.130327517700097
20,5,0,0,0,0,0,,0,0,51.40003572,-1.139696286
"Lock 94, Woolhampton Lock",0,0,0,0,0,0,,1,0,51.39577537,-1.152547148
