Name,Service,Postcode,,,,,,
Bath Marina,Marina,BA1 3JT,,,,,,
Somerset Arms,Public House,BA14 6JR,,,,,,
Somerset Arms,Restaurant,BA14 6JR,,,,,,
Boatyard,Diesel,BA14 8RS,,,,,,
Boatyard,Electricity,BA14 8RS,,,,,,
Boatyard,Mooring Overnight,BA14 8RS,,,,,,
Hilperton Marina,Marina,BA14 8RS,,,,,,
Hilperton Marina,Diesel,BA14 8RS,,,,,,
Hilperton Marina,Mooring Overnight,BA14 8RS,,,,,,
Hilperton Marina,Sanitory Station,BA14 8RS,,,,,,
Hilperton Marina,Refuse Disposal,BA14 8RS,,,,,,
Hilperton Marina,Gas,BA14 8RS,,,,,,
Hilperton Marina,Self Use Pump Out,BA14 8RS,,,,,,
Canal Tavern,Public House,BA15 1LE,,,,,,
Canal Tavern,Restaurant,BA15 1LE,,,,,,
Sally Narrowboats,Marina,BA15 1UD,,,,,,
Boathouse,Restaurant,BA15 1WD,,,,,,
Barge Inn,Public House,BA15 2EA,,,,,,
Barge Inn,Restaurant,BA15 2EA,,,,,,
Barge Inn,Mooring Overnight,BA15 2EA,,,,,,
Cross Guns,Public House,BA15 2HB,,,,,,
Cross Guns,Restaurant,BA15 2HB,,,,,,
Bath Narrowboats,Electricity,BA2 4EL,,,,,,
Bath Narrowboats,Airport,BA2 4EL,,,,,,
Bath Narrowboats,Mooring Overnight,BA2 4EL,,,,,,
Bath Narrowboats,Sanitory Station,BA2 4EL,,,,,,
White Hart,Public House,BA2 6AA,,,,,,
White Hart,Restaurant,BA2 6AA,,,,,,
George Inn,Public House,BA2 6TR,,,,,,
George Inn,Mooring Overnight,BA2 6TR,,,,,,
George Inn,Restaurant,BA2 6TR,,,,,,
Hop Pole Inn,Public House,BA2 7FS,,,,,, 
Hop Pole Inn,Restaurant,BA2 7FS,,,,,,
Bath Narrowboats (Brassknocker Basin),Mooring Overnight,BA2 7JD,,,,,,
Riverside Inn,Public House,BS31 3EZ,,,,,,
Riverside Inn,Restaurant,BS31 3EZ,,,,,,
Saltford Marina,Marina,BS31 3EZ,,,,,,
Saltford Marina,Electricity,BS31 3EZ,,,,,,
Saltford Marina,Laundry,BS31 3EZ,,,,,,
Saltford Marina,Mooring Overnight,BS31 3EZ,,,,,,
Saltford Marina,Refuse Disposal,BS31 3EZ,,,,,,
Saltford Marina,Self Use Pump Out,BS31 3EZ,,,,,,
Saltford Marina,Water Point,BS31 3EZ,,,,,,
Bel & The Dragon,Restaurant,RG1 3EQ,,,,,,
Fishermans Cottage,Public House,RG1 3HJ,,,,,,
Fishermans Cottage,Restaurant,RG1 3HJ,,,,,,
Newbury Boat Company,Marina,RG1 42B,,,,,,
Newbury Boat Company,Electricity,RG1 42B,,,,,,
Newbury Boat Company,Laundry,RG1 42B,,,,,,
Newbury Boat Company,Mooring Overnight,RG1 42B,,,,,,
Newbury Boat Company,Sanitory Station,RG1 42B,,,,,,
Lock Stock & Barrel,Public House,RG14 1AA,,,,,,
Lock Stock & Barrel,Restaurant,RG14 1AA,,,,,,
Lock Stock & Barrel,Wi Fi,RG14 1AA,,,,,,
Hogshead,Public House,RG14 5AN,,,,,,
Hogshead,Restaurant,RG14 5AN,,,,,,
Newbury Marina Boat Hire,Marina,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Diesel,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Electricity,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Gas,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Refuse Disposal,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Self Use Pump Out,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Sewage Disposal,RG14 5SG,,,,,,
Newbury Marina Boat Hire,Water Point,RG14 5SG,,,,,,
Greenham Lock Marina Ltd,Electricity,RG14 5SN,,,,,,
Greenham Lock Marina Ltd,Mooring Overnight,RG14 5SN,,,,,,
Greenham Lock Marina Ltd,Sanitory Station,RG14 5SN,,,,,,
Greenham Lock Marina Ltd,Laundry,RG14 5SN,,,,,,
Tesco Hungerford Superstore,Food Shop,RG17 0DX,,,,,,
Three Swans Hotel,Restaurant,RG17 0LZ,,,,,,
Three Swans Hotel,Public House,RG17 0LZ,,,,,,
Plume Of Feathers Inn,Public House,RG17 0NB,,,,,,
Plume Of Feathers Inn,Restaurant,RG17 0NB,,,,,,
Dundas Arms,Public House,RG17 9UT,,,,,,
Dundas Arms,Restaurant,RG17 9UT,,,,,,
Swan,Public House,RG19 4QL,,,,,,
Swan,Restaurant,RG19 4QL,,,,,,
Thames & Kennet Marina,Marina,RG4 6LQ,,,,,,
Thames & Kennet Marina,Electricity,RG4 6LQ,,,,,,
Thames & Kennet Marina,Self Use Pump Out,RG4 6LQ,,,,,,
Aldermaston Wharf,Mooring Overnight,RG7 4JS,,,,,,
Frouds Bridge Marina,Marina,RG7 4LH,,,,,,
Frouds Bridge Marina,Electricity,RG7 4LH,,,,,,
Frouds Bridge Marina,Mooring Overnight,RG7 4LH,,,,,,
Frouds Bridge Marina,Sanitory Station,RG7 4LH,,,,,,
Crown,Public House,SN10 1EA,,,,,,
Crown,Restaurant,SN10 1EA,,,,,,
White Horse Boats,Marina,SN10 1EB,,,,,,
Caen Hill Café,Restaurant,SN10 1QR,,,,,,
Caen Hill Marina,Marina,SN10 1SS,,,,,,
Caen Hill Marina,Diesel,SN10 1SS,,,,,,
Caen Hill Marina,Electricity,SN10 1SS,,,,,,
Caen Hill Marina,Gas,SN10 1SS,,,,,,
Caen Hill Marina,Laundry,SN10 1SS,,,,,,
Caen Hill Marina,Self Use Pump Out,SN10 1SS,,,,,,
Caen Hill Marina,Water Point,SN10 1SS,,,,,,
Black Horse,Public House,SN10 2AU,,,,,,
Black Horse,Restaurant,SN10 2AU,,,,,,
Black Horse,Mooring Overnight,SN10 2AU,,,,,,
Black Horse,Wi Fi,SN10 2AU,,,,,,
Bridge Inn,Public House,SN10 2JS,,,,,,
Bridge Inn,Restaurant,SN10 2JS,,,,,,
Devizes Marina Village,Electricity,SN10 2RH,,,,,,
Devizes Marina Village,Laundry,SN10 2RH,,,,,,
Devizes Marina Village,Mooring Overnight,SN10 2RH,,,,,,
Devizes Marina Village,Sanitory Station,SN10 2RH,,,,,,
Hourglass,Restaurant,SN10 2RH,,,,,,
Hourglass,Wi Fi,SN10 2RH,,,,,,
Barge Inn,Public House,SN12 6QB,,,,,,
Barge Inn,Restaurant,SN12 6QB,,,,,,
Barge Inn,Mooring Overnight,SN12 6QB,,,,,,
Three Magpies,Public House,SN12 6RN,,,,,,
Three Magpies,Restaurant,SN12 6RN,,,,,,
Pelican Inn,Public House,SN8 3JY,,,,,,
Pelican Inn,Restaurant,SN8 3JY,,,,,,
Royal Oak,Public House,SN8 4NQ,,,,,,
Royal Oak,Restaurant,SN8 4NQ,,,,,,
French Horn,Public House,SN9 5NT,,,,,,
French Horn,Restaurant,SN9 5NT,,,,,,
Waterfront,Public House,SN9 5NU,,,,,,
Waterfront,Restaurant,SN9 5NU,,,,,,
Barge Inn,Public House,SN9 5PS,,,,,,
Barge Inn,Restaurant,SN9 5PS,,,,,,
Barge Inn,Mooring Overnight,SN9 5PS,,,,,,
Barge Inn,Refuse Disposal,SN9 5PS,,,,,,
Barge Inn,Water Point,SN9 5PS,,,,,,
Moonrakers Canalboats,Electricity,SN9 5PS,,,,,,
Moonrakers Canalboats,Mooring Overnight,SN9 5PS,,,,,,
