Long,Lat,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,ANGLE,FL_DESC,GlobalID
-2.140110876,51.347469,1312,KA-097-001,"Lock 16, Harris Lock",KA-09700,10,192,"KA-097-001 Lock 16, Harris Lock",178fbcdb-c28a-4eee-ac19-20d57646c040
-2.251929852,51.34118432,1313,KA-106-004,"Lock 14, Bradford On Avon Lock",KA-10591,10,245,"KA-106-004 Lock 14, Bradford On Avon Lock",3cd5c1ae-7ee7-4853-8705-b600e96eff1a
-2.349022028,51.38045155,1314,KA-121-002,"Lock 13, Bath Top Lock",KA-12060,10,87,"KA-121-002 Lock 13, Bath Top Lock",5aca39f0-a297-4753-9633-0136b3104fa5
-2.348936601,51.37978065,1315,KA-121-004,"Lock 12, Pulteney Gardens Lock",KA-12070,10,86,"KA-121-004 Lock 12, Pulteney Gardens Lock",b068451f-e452-4492-a810-1a4df3951fbb
-2.349178796,51.37891849,1316,KA-121-005,"Lock 11, Horse Shoe Bridge Lock",KA-12080,10,133,"KA-121-005 Lock 11, Horse Shoe Bridge Lock",f9e7e7c6-1241-4025-ae66-a53d0c6b0694
-2.35133548,51.37719941,1317,KA-121-009,"Lock 10, Wash House Lock",KA-12101,10,130,"KA-121-009 Lock 10, Wash House Lock",259fa3aa-e972-4373-b28a-c1769f2bd86d
-2.35236428,51.37693878,1318,KA-121-011,"Lock 8/9, Bath Deep Lock",KA-12110,10,190,"KA-121-011 Lock 8/9, Bath Deep Lock",4bb7c355-a021-4e59-abdb-0d07c7243b71
-2.35462877,51.37717024,1319,KA-121-015,"Lock 7, Bath Bottom Lock",KA-12124,10,190,"KA-121-015 Lock 7, Bath Bottom Lock",18de55b4-d65d-44b8-a397-f68e5479b10b
-2.396954873,51.38256926,1320,KA-125-001,"Lock 6, Weston Lock",KA-12464,10,193,"KA-125-001 Lock 6, Weston Lock",8bc9465a-300a-4ba0-aa5a-2d09cdc63373
-2.448786199,51.40057768,1321,KA-129-002,"Lock 5, Kelston Lock",KA-12971,10,215,"KA-129-002 Lock 5, Kelston Lock",3e842acb-4212-4023-98f7-1fded8163958
-2.443082358,51.40969513,1322,KA-131-003,"Lock 4, Saltford Lock",KA-13106,10,313,"KA-131-003 Lock 4, Saltford Lock",202ac2b3-5be7-4c01-9aa3-4185e8d13958
-1.624858017,51.35864136,1323,KA-055-009,"Lock 60, Crofton Lock",KA-05578,10,312,"KA-055-009 Lock 60, Crofton Lock",75829f6d-c64b-4d11-a155-fd4d36acf8d8
-1.628038722,51.3574996,1324,KA-055-017,"Lock 59, Crofton Lock",KA-05607,10,356,"KA-055-017 Lock 59, Crofton Lock",1405c6d7-7a3e-4017-b2c8-d98e5c87de6c
-1.640280117,51.35883583,1325,KA-056-005,"Lock 56, Crofton Lock",KA-05693,10,360,"KA-056-005 Lock 56, Crofton Lock",6c8c5084-d259-4ad2-95bb-ef69670d1cf6
-1.635801835,51.35835154,1326,KA-056-004,"Lock 57, Crofton Lock",KA-05661,10,27,"KA-056-004 Lock 57, Crofton Lock",40ac227b-e44e-4375-9e83-307798d6e293
-1.631843652,51.35760009,1327,KA-056-003,"Lock 58, Crofton Lock",KA-05633,10,7,"KA-056-003 Lock 58, Crofton Lock",cc0d451d-32a1-4513-8c14-9ceb582efec5
-1.644164467,51.35906333,1328,KA-057-002,"Lock 55, Crofton Top Lock",KA-05718,10,9,"KA-057-002 Lock 55, Crofton Top Lock",e13f5bed-8eb8-4ac8-a867-636ac36e885d
-1.696770117,51.36960222,1329,KA-061-001,"Lock 54, Cadley Lock",KA-06122,10,178,"KA-061-001 Lock 54, Cadley Lock",9c97e7ce-48e9-4964-b1be-8fac1ec839cf
-1.700246266,51.36948519,1330,KA-061-003,"Lock 53, Brimslade Lock 53",KA-06144,10,173,"KA-061-003 Lock 53, Brimslade Lock 53",f5413def-d498-44d9-9aa0-5b26a1665297
-1.711385086,51.3673882,1331,KA-062-001,"Lock 52, Heathy Close Lock",KA-06226,10,150,"KA-062-001 Lock 52, Heathy Close Lock",0033cec5-2d34-462b-9c46-3725bb2e287f
-1.716186709,51.3652028,1332,KA-062-003,"Lock 51, Wootton Rivers",KA-06226,10,138,"KA-062-003 Lock 51, Wootton Rivers",7fba1d80-9537-418f-9182-bb1531be47f1
-2.000592178,51.35449965,1333,KA-087-002,"Lock 50, Kennet Lock (Top Lock)",KA-08696,10,150,"KA-087-002 Lock 50, Kennet Lock (Top Lock)",75ff2c8a-a384-4d53-8c82-a8921c2bc81b
-2.004645069,51.35350434,1334,KA-087-004,"Lock 49, Maton Lock",KA-08725,10,165,"KA-087-004 Lock 49, Maton Lock",0ead6b2e-e2ed-430e-8235-665a9401fe9c
-2.007431105,51.35308773,1335,KA-087-005,"Lock 48, Trust Lock",KA-08745,10,167,"KA-087-005 Lock 48, Trust Lock",c9c2a52e-c2a0-4e0e-89eb-45b7112f4c71
-2.010283187,51.35275219,1336,KA-087-007,"Lock 47, Manifold Lock",KA-08765,10,176,"KA-087-007 Lock 47, Manifold Lock",bfd7dda4-0683-4bbe-a028-40abc91dc03b
-2.012878956,51.35262627,1337,KA-088-001,"Lock 46, A P Herbert Lock",KA-08783,10,177,"KA-088-001 Lock 46, A P Herbert Lock",0e9d89ef-4bf2-496f-b4d1-2a16ae095860
-2.015463837,51.35255282,1338,KA-088-002,"Lock 45, Cave Lock",KA-08801,10,177,"KA-088-002 Lock 45, Cave Lock",e978e83c-6b13-4774-b7b1-1d89229885ac
-2.017997884,51.35248026,1339,KA-088-005,"Lock 44, Sir Hugh Stockwell",KA-08819,10,177,"KA-088-005 Lock 44, Sir Hugh Stockwell",28edcb57-a8ed-4c6a-9edd-f6fa9b34d06d
-2.019049758,51.35246579,1340,KA-088-009,"Lock 43, Queen Elizabeth Lock",KA-08836,10,178,"KA-088-009 Lock 43, Queen Elizabeth Lock",07d5ac63-70a8-4f1f-abeb-1a5c76c69339
-2.019985739,51.35242711,1341,KA-088-010,"Lock 42, Monument Lock",KA-08838,10,178,"KA-088-010 Lock 42, Monument Lock",b99a3a5b-ae7e-4ee7-a8d9-6457a4081cce
-2.020942525,51.35239882,1342,KA-088-011,"Lock 41, Devizes Lock",KA-08839,10,178,"KA-088-011 Lock 41, Devizes Lock",035067fe-826f-49a9-8e93-7e691d0aa9ce
-2.021872126,51.35237286,1343,KA-088-012,"Lock 40, Devizes Lock",KA-08845,10,178,"KA-088-012 Lock 40, Devizes Lock",14f04cc8-b172-4f01-8444-e9f0dfcd48e2
-2.022820022,51.35234722,1344,KA-088-013,"Lock 39, Devizes Lock",KA-08853,10,177,"KA-088-013 Lock 39, Devizes Lock",1179f135-59ed-439f-bc3c-8063127b80f8
-2.023737931,51.35232211,1345,KA-088-014,"Lock 38, Devizes Lock",KA-08859,10,177,"KA-088-014 Lock 38, Devizes Lock",7c125dfe-e6b8-4b9a-9e5c-3cf2aeccdc26
-2.024665788,51.35230276,1346,KA-088-015,"Lock 37, Devizes Lock",KA-08865,10,177,"KA-088-015 Lock 37, Devizes Lock",dfc731b1-a3f9-4b29-8391-edb6ce1059dd
-2.02559336,51.35227195,1347,KA-088-016,"Lock 36, Devizes Lock",KA-08872,10,177,"KA-088-016 Lock 36, Devizes Lock",6909d210-5234-4fe5-9bcf-583a4a16be9e
-2.04027394,51.35280606,1348,KA-089-014,"Lock 26, Devizes Lock",KA-08974,10,193,"KA-089-014 Lock 26, Devizes Lock",4075bd4d-2dc8-428e-a601-4811abcc344a
-2.037959291,51.35251254,1349,KA-089-013,"Lock 27, Marsh Lane Lock",KA-08958,10,191,"KA-089-013 Lock 27, Marsh Lane Lock",175b06a3-e3fb-40db-94df-6a1621f4da95
-2.026529339,51.35224585,1350,KA-089-001,"Lock 35, Devizes Lock",KA-08880,10,177,"KA-089-001 Lock 35, Devizes Lock",0c21e55b-5f21-491c-bfd2-5d97841d2aa0
-2.034574018,51.35217128,1351,KA-089-010,"Lock 28, Devizes Lock",KA-08932,10,190,"KA-089-010 Lock 28, Devizes Lock",3b2b4073-c968-4c62-81e6-b8beb12b6456
-2.027468471,51.35221892,1352,KA-089-002,"Lock 34, Devizes Lock",KA-08886,10,178,"KA-089-002 Lock 34, Devizes Lock",8a199abd-eb84-4f3c-9396-542b730248d8
