Name,Service,Latitude,Longitude,Section,
The Kings Arms,Public House,51.371845,-2.137601,5,
The Kings Arms,Restaurant,51.371845,-2.137601,5,
The Kings Arms,Wi Fi,51.371845,-2.137601,5,
Lidl 1,Food Shop,51.377023,-2.14114,6,
Asda 1,Food Shop,51.376085,-2.144702,5,
Dominos 1,Take out,51.375964,-2.140218,6,
McDonalds 1,Take out,51.382098,-2.142192,6,
The Rising Sun,Public House,51.411284,-2.094127,11,
The Rising Sun,Restaurant,51.411284,-2.094127,11,
The Rising Sun,Wi Fi,51.411284,-2.094127,11,
The Bell Inn,Public House,51.411438,-2.107712,11,
The Bell Inn,Restaurant,51.411438,-2.107712,11,
The Bell Inn,Wi Fi,51.411438,-2.107712,11,
Lacock Abbey,site seeing,51.414382,-2.117368,11,
Lacock Abbey,café,51.414382,-2.117368,11,
Lansdowne arms,Public House,51.43365,-2.064496,16,
Lansdowne arms,Restaurant,51.43365,-2.064496,16,
Lansdowne arms,Wi Fi,51.43365,-2.064496,16,
The Lysley arms,Public House,51.439267,-2.075167,15,
The Lysley arms,Restaurant,51.439267,-2.075167,15,
The Lysley arms,Wi Fi,51.439267,-2.075167,15,
Post office,Post office,51.435148,-2.062093,16,
Tesco 1,Food Shop,51.45861111,-2.058055556,18,
co-op 1,Food Shop,51.45861111,-2.058055556,18,
The bug and spider,Restaurant,51.45861111,-2.058055556,18,
Tesco 2,Food Shop,51.447767,-2.102058,14,
Chippenham Museum,site seeing,51.457528,-2.113902,14,
Tesco 3,Food Shop,51.4425,-2.083611111,15,
Rivo lounge,Restaurant,51.4425,-2.083611111,15,
The gladstone arms,Public House,51.456525,-2.115194,14,
The gladstone arms,Restaurant,51.456525,-2.115194,14,
The gladstone arms,Wi Fi,51.456525,-2.115194,14,
Rising Sun,Public House,51.506405,-2.052987,24,
Rising Sun,Restaurant,51.506405,-2.052987,24,
Rising Sun,Wi Fi,51.506405,-2.052987,24,
Christian Malford store,Food Shop,51.509923,-2.055884,24,
Tesco 4,Food Shop,51.506745,-1.966878,29,
Museum,site seeing,51.504608,-1.96941,29,
co-op 2,Food Shop,51.508027,-1.966706,29,
piggys café,café,51.511338,-1.97044,29,
The Mallard,Public House,51.510404,-1.968165,29,
The Mallard,Restaurant,51.510404,-1.968165,29,
The Mallard,Wi Fi,51.510404,-1.968165,29,
The cross keys inn,Public House,51.513235,-2.000481,27,
The cross keys inn,Restaurant,51.513235,-2.000481,27,
The cross keys inn,Wi Fi,51.513235,-2.000481,27,
museum 2,site seeing,51.541491,-1.905792,34,
sinsburys,Food Shop,51.542772,-1.90562,34,
tesco 5,Food Shop,51.541837,-1.887766,36,
