Name,Service,Postcode,ukpostcodes.latitude,ukpostcodes.longitude,Section,,,,,
French Horn,Public House,SN9 5NT,51.349584,-1.776296,67,,,,,
French Horn,Restaurant,SN9 5NT,51.349584,-1.776296,67,,,,,
Waterfront,Public House,SN9 5NU,51.34413379,-1.771426461,67,,,,,
Waterfront,Restaurant,SN9 5NU,51.34413379,-1.771426461,67,,,,,
Barge Inn,Public House,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Barge Inn,Restaurant,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Barge Inn,Mooring Overnight,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Barge Inn,Refuse Disposal,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Barge Inn,Water Point,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Moonrakers Canalboats,Electricity,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Moonrakers Canalboats,Mooring Overnight,SN9 5PS,51.35262701,-1.853293159,73,,,,,
Royal Oak,Public House,SN8 4NQ,51.36944612,-1.718034512,62,,,,,
Royal Oak,Restaurant,SN8 4NQ,51.36944612,-1.718034512,62,,,,,
Pelican Inn,Public House,SN8 3JY,51.411136,-1.573062361,49,,,,,
Pelican Inn,Restaurant,SN8 3JY,51.411136,-1.573062361,49,,,,,
Barge Inn,Public House,SN12 6QB,51.35138141,-2.099318492,94,,,,,
Barge Inn,Restaurant,SN12 6QB,51.35138141,-2.099318492,94,,,,,
Barge Inn,Mooring Overnight,SN12 6QB,51.35138141,-2.099318492,94,,,,,
Three Magpies,Public House,SN12 6RN,51.357463,-2.072663,92,,,,,
Three Magpies,Restaurant,SN12 6RN,51.357463,-2.072663,92,,,,,
Black Horse,Public House,SN10 2AU,51.35320372,-2.00884,87,,,,,
Black Horse,Restaurant,SN10 2AU,51.35320372,-2.00884,87,,,,,
Black Horse,Mooring Overnight,SN10 2AU,51.35320372,-2.00884,87,,,,,
Black Horse,Wi Fi,SN10 2AU,51.35320372,-2.00884,87,,,,,
Bridge Inn,Public House,SN10 2JS,51.36800093,-1.945709718,82,,,,,
Bridge Inn,Restaurant,SN10 2JS,51.36800093,-1.945709718,82,,,,,
Crown,Public House,SN10 1EA,51.3544359,-1.997036,86,,,,,
Crown,Restaurant,SN10 1EA,51.3544359,-1.997036,86,,,,,
White Horse Boats,Marina,SN10 1EB,51.35468761,-1.994953289,86,,,,,
Devizes Marina Village,Electricity,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Devizes Marina Village,Laundry,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Devizes Marina Village,Mooring Overnight,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Devizes Marina Village,Sanitory Station,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Hourglass,Restaurant,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Hourglass,Wi Fi,SN10 2RH,51.36164252,-1.966370775,84,,,,,
Caen Hill Café,Restaurant,SN10 1QR,51.35334688,-2.015545833,88,,,,,
Caen Hill Marina,Marina,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Diesel,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Electricity,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Gas,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Laundry,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Self Use Pump Out,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Caen Hill Marina,Water Point,SN10 1SS,51.35081994,-2.048959113,90,,,,,
Frouds Bridge Marina,Marina,RG7 4LH,51.394925,-1.151815,18,,,,,
Frouds Bridge Marina,Electricity,RG7 4LH,51.394925,-1.151815,18,,,,,
Frouds Bridge Marina,Mooring Overnight,RG7 4LH,51.394925,-1.151815,18,,,,,
Frouds Bridge Marina,Sanitory Station,RG7 4LH,51.394925,-1.151815,18,,,,,
Aldermaston Wharf,Mooring Overnight,RG7 4JS,51.40098041,-1.134956,16,,,,,
