Section,Latitude degree,,,Longitude degree,,,Latitude,Longitude,next turning back,Turning Points,next turning forward,Lock Status,Lockage,Boat Hires,Marina,Hire names,Marina names
1,51,20,54,2,8,47,51.34833333,-2.146388889,1,1,1,0,0,,,,
2,51,21,5,2,8,53,51.35138889,-2.148055556,1,1,1,0,0,,,,
Lock 1,51,21,31,2,8,45,51.35861111,-2.145833333,1,1,1,1,0,,,,
3,51,21,35,2,8,43,51.35972222,-2.145277778,1,1,1,0,0,11,46,,Semington
4,51,22,6,2,9,6,51.36833333,-2.151666667,1,1,1,0,0,,,,
Lock2,51,22,16,2,8,45,51.37111111,-2.145833333,1,1,1,1,0,,,,
Lock3,51,22,17,2,8,44,51.37138889,-2.145555556,1,1,1,1,0,,,,
5,51,22,24,2,8,46,51.37333333,-2.146111111,1,1,1,0,0,7,32,,Melksham
Lock4,51,22,26,2,8,16,51.37388889,-2.137777778,1,1,1,1,0,,,,
6,51,22,51,2,8,14,51.38083333,-2.137222222,1,1,1,0,0,,,,
7,51,23,16,2,8,3,51.38777778,-2.134166667,1,1,1,0,0,,,,
Lock5,51,23,16,2,7,57,51.38777778,-2.1325,1,1,1,1,0,,,,
Lock6,51,23,16,2,7,51,51.38777778,-2.130833333,1,1,1,1,0,,,,
Lock7,51,23,16,2,7,45,51.38777778,-2.129166667,1,1,1,1,0,,,,
8,51,23,28,2,7,19,51.39111111,-2.121944444,1,1,1,0,0,,,,
9,51,23,48,2,6,34,51.39666667,-2.109444444,1,1,1,0,0,,,,
Lock8,51,23,57,2,6,33,51.39916667,-2.109166667,1,1,1,1,0,,,,
10,51,24,17,2,6,26,51.40472222,-2.107222222,1,1,1,0,0,,,,
Lock9,51,24,21,2,6,24,51.40583333,-2.106666667,1,1,1,1,0,,,,
11,51,24,51,2,6,29,51.41416667,-2.108055556,1,1,1,0,0,,,,
12,51,25,22,2,6,29,51.42277778,-2.108055556,1,1,1,0,0,,,,
13,51,25,45,2,5,58,51.42916667,-2.099444444,1,1,1,0,0,,,,
14,51,26,13,2,5,35,51.43694444,-2.093055556,1,1,1,0,0,25,223,,Pewsham 
Lock10,51,26,17,2,5,32,51.43805556,-2.092222222,1,1,1,1,0,,,,
Lock11,51,26,18,2,5,31,51.43833333,-2.091944444,1,1,1,1,0,,,,
Lock12,51,26,21,2,5,28,51.43916667,-2.091111111,1,1,1,1,0,,,,
15,51,26,33,2,5,1,51.4425,-2.083611111,1,1,1,0,0,,,,
16,51,26,49,2,4,10,51.44694444,-2.069444444,1,1,1,0,0,,,,
17,51,27,4,2,3,30,51.45111111,-2.058333333,1,1,1,0,0,,,,
Lock13,51,27,5,2,3,29,51.45138889,-2.058055556,1,1,1,1,0,,,,
Lock14,51,27,7,2,3,28,51.45194444,-2.057777778,1,1,1,1,0,,,,
18,51,27,31,2,3,29,51.45861111,-2.058055556,1,1,1,0,0,,,,
19,51,27,57,2,3,0,51.46583333,-2.05,1,1,1,0,0,,,,
20,51,28,25,2,2,20,51.47361111,-2.038888889,1,1,1,0,0,,,,
21,51,28,50,2,1,56,51.48055556,-2.032222222,1,1,1,0,0,,,,
22,51,29,17,2,1,33,51.48805556,-2.025833333,1,1,1,0,0,,,,
Lock15,51,29,41,2,1,39,51.49472222,-2.0275,1,1,1,1,0,,,,
Lock16,51,29,44,2,1,41,51.49555556,-2.028055556,1,1,1,1,0,,,,
23,51,29,47,2,1,44,51.49638889,-2.028888889,1,1,1,0,0,,,,
24,51,30,19,2,1,57,51.50527778,-2.0325,1,1,1,0,0,,,,
Lock17,51,30,32,2,1,40,51.50888889,-2.027777778,1,1,1,1,0,,,,
25,51,30,40,2,1,30,51.51111111,-2.025,1,1,1,0,0,,,,
26,51,31,6,2,1,6,51.51833333,-2.018333333,1,1,1,0,0,,,,
Lock18,51,31,13,2,0,28,51.52027778,-2.007777778,1,1,1,1,0,,,,
27,51,31,15,2,0,11,51.52083333,-2.003055556,1,1,1,0,0,,,,
28,51,31,24,1,59,19,51.52333333,-1.988611111,1,1,1,0,0,,,,
29,51,31,28,1,58,36,51.52444444,-1.976666667,1,1,1,0,0,,,,
