X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,FL_DESC,GlobalID
-1.540284641783146,51.413865830179745,255,KA-046-005,"Aqueduct 2, Dun Aqueduct",KA-04699,001,"KA-046-005 Aqueduct 2, Dun Aqueduct",6ade8bf3-054a-43cc-a859-8d42fb14fbe3
-1.568962263080664,51.404358274468116,256,KA-049-002,"Aqueduct 3, Froxfield-Dun",KA-04931,001,"KA-049-002 Aqueduct 3, Froxfield-Dun",e2deb1dd-ec4c-4653-9a72-548fda6ac8d1
-2.056437120478043,51.354693831996151,257,KA-091-001,"Aqueduct 4, Summerham Brook Aqueduct",KA-09093,001,"KA-091-001 Aqueduct 4, Summerham Brook Aqueduct",47f00e60-dfa7-4f6b-84a3-07b26074847e
-2.14961819529324,51.347438287010441,258,KA-098-001,"Aqueduct 5, Semington Aqueduct",KA-09769,001,"KA-098-001 Aqueduct 5, Semington Aqueduct",8834db87-5f2a-4565-bfe2-07ee7f0486c8
-2.210254786890073,51.333663823153231,259,KA-102-013,"Aqueduct 7, Biss Aqueduct",KA-10252,001,"KA-102-013 Aqueduct 7, Biss Aqueduct",ec64a337-9773-453f-a20a-258ae245cfb2
-2.209206342460736,51.333725274705884,260,KA-102-012,"Aqueduct 6, Ladydown Aqueduct",KA-10243,001,"KA-102-012 Aqueduct 6, Ladydown Aqueduct",5671f895-207d-49ae-b6fc-4c2db703ec22
-2.282347566355842,51.338842488456244,261,KA-108-002,"Aqueduct 8, Avoncliff Aqueduct",KA-10820,001,"KA-108-002 Aqueduct 8, Avoncliff Aqueduct",9c02c660-b658-4c0a-bfee-ac3401520dd6
-2.28274289694609,51.339363887335267,262,KA-108-003,"Aqueduct 9, Railway Aqueduct",KA-10824,001,"KA-108-003 Aqueduct 9, Railway Aqueduct",1ead4a2d-7fce-4b5d-826f-4c0e25aa15ce
-2.311227826021882,51.361555859815446,263,KA-112-003,"Aqueduct 11, Dundas Railway Aqueduct",KA-11255,001,"KA-112-003 Aqueduct 11, Dundas Railway Aqueduct",d5e803af-dafd-49b2-aa62-a6d86e48ac51
-2.310701018904982,51.361436617164706,264,KA-112-002,"Aqueduct 10, Dundas Aqueduct",KA-11253,001,"KA-112-002 Aqueduct 10, Dundas Aqueduct",b05c0308-2cd5-48a7-8378-02c5265a2e1a
-1.480419650913093,51.410479616032553,265,KA-042-003,"Aqueduct 1, Wire Aqueduct",,001,"KA-042-003 Aqueduct 1, Wire Aqueduct",7a8b6daa-a356-4930-8061-098c618da492
-2.138501549940474,51.347224629505753,272,KA-097-013,"Aqueduct, A350 Semington",,001,"KA-097-013 Aqueduct, A350 Semington",930b624d-ec48-4c24-a8d9-a2fc469430a2
