X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,Angle,FL_DESC,GlobalID
-2.054145900870537,51.354184025581333,6383,KA-090-025,Foxhangers Marina Entrance Lift Bridge,KA-090-025,002,289.3303648,KA-090-025 Foxhangers Marina Entrance Lift Bridge,408c461b-a0f1-4f06-9371-a19eb81139ad
-2.061952650558377,51.355985904321351,6429,KA-091-022,Seend Feeder Footbridge,KA-091-022,004,199.13867046,KA-091-022 Seend Feeder Footbridge,1b836582-b823-4440-b373-451fdf323c1a
-1.02835374995191,51.432282298131419,5141,KA-007-001,"Bridge 15, Swan Overhead Bridge",KA-00787,004,200.75519511,"KA-007-001 Bridge 15, Swan Overhead Bridge",fd2eda50-9b14-4a43-a18b-a55f9bcf0f35
-1.103300588466428,51.416876747694324,5142,KA-013-010,Bridge 24 (Over Weir),KA-01400,004,317.20329112,KA-013-010 Bridge 24 (Over Weir),1409b20d-adfa-4ab8-a1e1-2f6847ad858b
-1.40123433990254,51.400908777522531,5143,KA-036-002,"Bridge 70, Copse Lock Footbridge",KA-03685,004,351.92040991,"KA-036-002 Bridge 70, Copse Lock Footbridge",25f5e80e-8bcc-4c84-85c2-4572ba9b4a70
-1.453577642575559,51.401774145810144,5144,KA-040-002,"Bridge 77, Vicarage Footbridge",KA-04054,004,181.52960693,"KA-040-002 Bridge 77, Vicarage Footbridge",f204c0df-dea3-496f-93bf-3544854c4d7b
-2.488109742743597,51.426589979549981,5145,KA-137-001,"Bridge 215, Londonderry Wharf",KA-13721,004,90.54195353,"KA-137-001 Bridge 215, Londonderry Wharf",035a043b-9d2d-402e-a8a2-99e6e395715b
-2.200989380691667,51.341268433551093,5153,KA-101-005,"Bridge 166, Hilperton Road Bridge",KA-10139,003,213.30747115,"KA-101-005 Bridge 166, Hilperton Road Bridge",5c394213-ae76-41c1-8c71-7470f6603187
-2.208201594781743,51.334031954831389,5154,KA-102-011,"Bridge 168, Balls Bridge",KA-10237,002,245.08076365,"KA-102-011 Bridge 168, Balls Bridge",10f41cc1-ef5c-499c-9cdd-7a4e58f99b3d
-2.239636611013541,51.336120071681741,5155,KA-105-001,"Bridge 170, Widbrook Bridge",KA-10465,003,268.39460276,"KA-105-001 Bridge 170, Widbrook Bridge",c26d38e0-515a-4d83-8042-10a92d15411a
