OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
137,Kennet & Avon Canal - 102,9800,Kennet and Avon,KA Length 102,KA,KA-102,KA Kennet & Avon Canal - 102,0.011759758,f49cfafe-74b6-4540-8efe-8232567745b8
138,Kennet & Avon Canal - 103,9800,Kennet and Avon,KA Length 103,KA,KA-103,KA Kennet & Avon Canal - 103,0.013901553,0039832d-131e-488e-9fc9-a051ab574b9c
139,Kennet & Avon Canal - 104,9800,Kennet and Avon,KA Length 104,KA,KA-104,KA Kennet & Avon Canal - 104,0.013954671,a4cf0aba-44d9-4c0a-8466-7e09dafbecb0
140,Kennet & Avon Canal - 105,9800,Kennet and Avon,KA Length 105,KA,KA-105,KA Kennet & Avon Canal - 105,0.013233882,eb9d1539-305a-48f8-b7fe-59b5ec655b29
141,Kennet & Avon Canal - 120,9800,Kennet and Avon,KA Length 120,KA,KA-120,KA Kennet & Avon Canal - 120,0.00949763,803dcdaa-7508-4001-bf54-f524b7f346a6
142,Kennet & Avon Canal - 121,9800,Kennet and Avon,KA Length 121,KA,KA-121,KA Kennet & Avon Canal - 121,0.012308036,838edcd3-ff1e-4576-bcdd-52eb15132b81
143,Kennet & Avon Canal - 122,9800,Kennet and Avon,KA Length 122,KA,KA-122,KA Kennet & Avon Canal - 122,0.012843303,565a6bdb-739f-483f-850c-d6b213becec5
144,Kennet & Avon Canal - 123,9800,Kennet and Avon,KA Length 123,KA,KA-123,KA Kennet & Avon Canal - 123,0.013167959,8d61e196-97a2-4906-822e-8c8e073bffc0
145,Kennet & Avon Canal - 124,9800,Kennet and Avon,KA Length 124,KA,KA-124,KA Kennet & Avon Canal - 124,0.013809113,d05f9fbb-4724-4b7a-8eca-03862d0bf80a
1112,Kennet & Avon Canal - 001,9800,Kennet and Avon,KA Length 001,KA,KA-001,KA Kennet & Avon Canal - 001,0.011356693,658c8307-cee6-43c8-9e86-5bdf3f6211f2
1113,Kennet & Avon Canal - 002,9800,Kennet and Avon,KA Length 002,KA,KA-002,KA Kennet & Avon Canal - 002,0.009861047,c081e927-abcc-4bc2-9f03-8d77f804d8b0
1114,Kennet & Avon Canal - 013,9800,Kennet and Avon,KA Length 013,KA,KA-013,KA Kennet & Avon Canal - 013,0.012695464,e4a15515-f57e-47a3-a831-7158faed5fb3
1115,Kennet & Avon Canal - 014,9800,Kennet and Avon,KA Length 014,KA,KA-014,KA Kennet & Avon Canal - 014,0.013652337,68009952-cd1a-4bcc-89c8-adc134c03c62
1116,Kennet & Avon Canal - 015,9800,Kennet and Avon,KA Length 015,KA,KA-015,KA Kennet & Avon Canal - 015,0.00955664,2108ac9d-9386-4d6f-ad6f-f4f1eb37fa03
1117,Kennet & Avon Canal - 029,9800,Kennet and Avon,KA Length 029,KA,KA-029,KA Kennet & Avon Canal - 029,0.014049303,56c351a9-7b11-410d-8958-965e07332c7f
1118,Kennet & Avon Canal - 030,9800,Kennet and Avon,KA Length 030,KA,KA-030,KA Kennet & Avon Canal - 030,0.013303735,10ed0f88-598a-4053-8cf8-5ea3573dd72a
1119,Kennet & Avon Canal - 031,9800,Kennet and Avon,KA Length 031,KA,KA-031,KA Kennet & Avon Canal - 031,0.014209161,eb9d3802-c04e-4c36-a297-329bf002df74
1125,Kennet & Avon Canal - 071,9800,Kennet and Avon,KA Length 071,KA,KA-071,KA Kennet & Avon Canal - 071,0.013962921,9af0b5d1-7374-4e3a-ba3b-99b9eafac4df
1234,Kennet & Avon Canal - 084,9800,Kennet and Avon,KA Length 084,KA,KA-084,KA Kennet & Avon Canal - 084,0.01406277,8b872048-7886-4750-956b-4cbed0ae3d0e
1235,Kennet & Avon Canal - 085,9800,Kennet and Avon,KA Length 085,KA,KA-085,KA Kennet & Avon Canal - 085,0.012005991,1aec8a44-f4f2-4dca-8073-80ba8c23e371
1236,Kennet & Avon Canal - 086,9800,Kennet and Avon,KA Length 086,KA,KA-086,KA Kennet & Avon Canal - 086,0.014179857,7b8abc51-d204-4d72-b02f-8f021edf2584
1237,Kennet & Avon Canal - 087,9800,Kennet and Avon,KA Length 087,KA,KA-087,KA Kennet & Avon Canal - 087,0.013938596,8ae86d01-2892-44f8-a10a-20a167864290
1238,Kennet & Avon Canal - 088,9800,Kennet and Avon,KA Length 088,KA,KA-088,KA Kennet & Avon Canal - 088,0.014343495,4183cb89-4094-4f69-b947-9a1f02dfd291
1580,Kennet & Avon Canal - 072,9800,Kennet and Avon,KA Length 072,KA,KA-072,KA Kennet & Avon Canal - 072,0.012961191,bee58871-da73-4a70-968b-5b120b8f66c4
1581,Kennet & Avon Canal - 073,9800,Kennet and Avon,KA Length 073,KA,KA-073,KA Kennet & Avon Canal - 073,0.012229101,0c502e5e-0342-4a2e-b26f-4d0d744351fd
1582,Kennet & Avon Canal - 050,9800,Kennet and Avon,KA Length 050,KA,KA-050,KA Kennet & Avon Canal - 050,0.011541707,4575404c-b38a-430c-bec3-9d8e32c7ba6f
1583,Kennet & Avon Canal - 052,9800,Kennet and Avon,KA Length 052,KA,KA-052,KA Kennet & Avon Canal - 052,0.011348338,6e9df6a8-0965-4c39-9274-79031e0fb12f
1584,Kennet & Avon Canal - 054,9800,Kennet and Avon,KA Length 054,KA,KA-054,KA Kennet & Avon Canal - 054,0.011958574,f4859135-7b30-46ee-9e8a-1deae615f63a
1585,Kennet & Avon Canal - 055,9800,Kennet and Avon,KA Length 055,KA,KA-055,KA Kennet & Avon Canal - 055,0.012228033,1adde89a-f016-464c-9cc9-facb3961af50
1586,Kennet & Avon Canal - 057,9800,Kennet and Avon,KA Length 057,KA,KA-057,KA Kennet & Avon Canal - 057,0.012555808,fd342cd6-e8b4-4d2f-8c42-bf131e3fea45
1587,Kennet & Avon Canal - 058,9800,Kennet and Avon,KA Length 058,KA,KA-058,KA Kennet & Avon Canal - 058,0.013073503,27127aef-0ff0-4729-be05-a7d4050f9953
1588,Kennet & Avon Canal - 059,9800,Kennet and Avon,KA Length 059,KA,KA-059,KA Kennet & Avon Canal - 059,0.014183487,a5fe64b6-a860-4510-8ac8-adb18d1823a2
1589,Kennet & Avon Canal - 061,9800,Kennet and Avon,KA Length 061,KA,KA-061,KA Kennet & Avon Canal - 061,0.014179313,e446bcad-deab-435d-98d6-2848e2acb145
1590,Kennet & Avon Canal - 062,9800,Kennet and Avon,KA Length 062,KA,KA-062,KA Kennet & Avon Canal - 062,0.012516189,3e5b6610-460d-4dab-989d-feeb837935be
1591,Kennet & Avon Canal - 063,9800,Kennet and Avon,KA Length 063,KA,KA-063,KA Kennet & Avon Canal - 063,0.01352397,2a7e65a4-ad96-4fee-9afa-cd6670fc5bb4
1592,Kennet & Avon Canal - 064,9800,Kennet and Avon,KA Length 064,KA,KA-064,KA Kennet & Avon Canal - 064,0.013249915,19f6e693-6db2-4ae6-a6d1-d4ff68926ed6
1593,Kennet & Avon Canal - 066,9800,Kennet and Avon,KA Length 066,KA,KA-066,KA Kennet & Avon Canal - 066,0.011923303,d435de68-6ef8-47ef-8e95-08e25eafa750
