0,Latitude,Longitude,Section
0,51.34833333,-2.146388889,1
0,51.35138889,-2.148055556,2
488,51.35861111,-2.145833333,Lock 1
0,51.35972222,-2.145277778,3
0,51.36833333,-2.151666667,4
926,51.37111111,-2.145833333,Lock2
1077,51.37138889,-2.145555556,Lock3
0,51.37333333,-2.146111111,5
1041,51.37388889,-2.137777778,Lock4
0,51.38083333,-2.137222222,6
0,51.38777778,-2.134166667,7
624,51.38777778,-2.1325,Lock5
594,51.38777778,-2.130833333,Lock6
671,51.38777778,-2.129166667,Lock7
0,51.39111111,-2.121944444,8
0,51.39666667,-2.109444444,9
636,51.39916667,-2.109166667,Lock8
0,51.40472222,-2.107222222,10
933,51.40583333,-2.106666667,Lock9
0,51.41416667,-2.108055556,11
0,51.42277778,-2.108055556,12
0,51.42916667,-2.099444444,13
0,51.43694444,-2.093055556,14
719,51.43805556,-2.092222222,Lock10
290,51.43833333,-2.091944444,Lock11
453,51.43916667,-2.091111111,Lock12
0,51.4425,-2.083611111,15
0,51.44694444,-2.069444444,16
0,51.45111111,-2.058333333,17
592,51.45138889,-2.058055556,Lock13
394,51.45194444,-2.057777778,Lock14
0,51.45861111,-2.058055556,18
0,51.46583333,-2.05,19
0,51.47361111,-2.038888889,20
0,51.48055556,-2.032222222,21
0,51.48805556,-2.025833333,22
362,51.49472222,-2.0275,Lock15
274,51.49555556,-2.028055556,Lock16
0,51.49638889,-2.028888889,23
0,51.50527778,-2.0325,24
407,51.50888889,-2.027777778,Lock17
0,51.51111111,-2.025,25
0,51.51833333,-2.018333333,26
469,51.52027778,-2.007777778,Lock18
0,51.52083333,-2.003055556,27
0,51.52333333,-1.988611111,28
0,51.52444444,-1.976666667,29
458,51.52555556,-1.970555556,Lock19
272,51.52611111,-1.970277778,Lock20
272,51.52638889,-1.969722222,Lock21
272,51.52694444,-1.969444444,Lock22
272,51.5275,-1.968611111,Lock23
273,51.52777778,-1.968055556,Lock24
290,51.52805556,-1.967777778,Lock25
0,51.52861111,-1.964444444,30
0,51.53138889,-1.9525,31
0,51.535,-1.938055556,32
0,51.53388889,-1.927222222,33
0,51.5325,-1.911944444,34
351,51.5325,-1.91,Lock26
374,51.5325,-1.903888889,Lock27
0,51.53222222,-1.898333333,35
0,51.53472222,-1.882222222,36
473,51.53472222,-1.874722222,Lock28
0,51.53388889,-1.870833333,37
522,51.53277778,-1.866944444,Lock29
0,51.53222222,-1.855833333,38
0,51.53694444,-1.845,39
0,51.53972222,-1.832222222,40
0,51.54055556,-1.819166667,41
0,51.54055556,-1.804444444,42
649,51.54055556,-1.801111111,Lock30
0,51.54,-1.789444444,43
366,51.54055556,-1.793333333,Lock31
174,51.53722222,-1.781111111,Lock32
247,51.53666667,-1.779444444,Lock33
0,51.53555556,-1.776388889,44
0,51.53277778,-1.767777778,45
0,51.53388889,-1.755555556,46
0,51.53138889,-1.74,47
294,51.52861111,-1.733055556,Lock34
0,51.53,-1.73,48
190,51.53166667,-1.726111111,Lock35
180,51.5325,-1.722777778,Lock36
196,51.53527778,-1.719166667,Lock37
0,51.53527778,-1.718888889,49
206,51.53833333,-1.718611111,Lock38
0,51.54305556,-1.715833333,50
204,51.54583333,-1.716944444,Lock39
206,51.54888889,-1.717777778,Lock40
