Name,Service,Postcode,ukpostcodes.latitude,ukpostcodes.longitude,Column4,Column5,Column6,Column7,Column8,Column9
French Horn,Public House,SN9 5NT,51.349584,-1.776296,,,,,,
French Horn,Restaurant,SN9 5NT,51.349584,-1.776296,,,,,,
Waterfront,Public House,SN9 5NU,51.34413379,-1.771426461,,,,,,
Waterfront,Restaurant,SN9 5NU,51.34413379,-1.771426461,,,,,,
Barge Inn,Public House,SN9 5PS,51.35262701,-1.853293159,,,,,,
Barge Inn,Restaurant,SN9 5PS,51.35262701,-1.853293159,,,,,,
Barge Inn,Mooring Overnight,SN9 5PS,51.35262701,-1.853293159,,,,,,
Barge Inn,Refuse Disposal,SN9 5PS,51.35262701,-1.853293159,,,,,,
Barge Inn,Water Point,SN9 5PS,51.35262701,-1.853293159,,,,,,
Moonrakers Canalboats,Electricity,SN9 5PS,51.35262701,-1.853293159,,,,,,
Moonrakers Canalboats,Mooring Overnight,SN9 5PS,51.35262701,-1.853293159,,,,,,
Royal Oak,Public House,SN8 4NQ,51.36944612,-1.718034512,,,,,,
Royal Oak,Restaurant,SN8 4NQ,51.36944612,-1.718034512,,,,,,
Pelican Inn,Public House,SN8 3JY,51.411136,-1.573062361,,,,,,
Pelican Inn,Restaurant,SN8 3JY,51.411136,-1.573062361,,,,,,
Barge Inn,Public House,SN12 6QB,51.35138141,-2.099318492,,,,,,
Barge Inn,Restaurant,SN12 6QB,51.35138141,-2.099318492,,,,,,
Barge Inn,Mooring Overnight,SN12 6QB,51.35138141,-2.099318492,,,,,,
Three Magpies,Public House,SN12 6RN,51.357463,-2.072663,,,,,,
Three Magpies,Restaurant,SN12 6RN,51.357463,-2.072663,,,,,,
Black Horse,Public House,SN10 2AU,51.35320372,-2.00884,,,,,,
Black Horse,Restaurant,SN10 2AU,51.35320372,-2.00884,,,,,,
Black Horse,Mooring Overnight,SN10 2AU,51.35320372,-2.00884,,,,,,
Black Horse,Wi Fi,SN10 2AU,51.35320372,-2.00884,,,,,,
Bridge Inn,Public House,SN10 2JS,51.36800093,-1.945709718,,,,,,
Bridge Inn,Restaurant,SN10 2JS,51.36800093,-1.945709718,,,,,,
Crown,Public House,SN10 1EA,51.3544359,-1.997036,,,,,,
Crown,Restaurant,SN10 1EA,51.3544359,-1.997036,,,,,,
White Horse Boats,Marina,SN10 1EB,51.35468761,-1.994953289,,,,,,
Devizes Marina Village,Electricity,SN10 2RH,51.36164252,-1.966370775,,,,,,
Devizes Marina Village,Laundry,SN10 2RH,51.36164252,-1.966370775,,,,,,
Devizes Marina Village,Mooring Overnight,SN10 2RH,51.36164252,-1.966370775,,,,,,
Devizes Marina Village,Sanitory Station,SN10 2RH,51.36164252,-1.966370775,,,,,,
Hourglass,Restaurant,SN10 2RH,51.36164252,-1.966370775,,,,,,
Hourglass,Wi Fi,SN10 2RH,51.36164252,-1.966370775,,,,,,
Caen Hill Café,Restaurant,SN10 1QR,51.35334688,-2.015545833,,,,,,
Caen Hill Marina,Marina,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Diesel,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Electricity,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Gas,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Laundry,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Self Use Pump Out,SN10 1SS,51.35081994,-2.048959113,,,,,,
Caen Hill Marina,Water Point,SN10 1SS,51.35081994,-2.048959113,,,,,,
Frouds Bridge Marina,Marina,RG7 4LH,51.394925,-1.151815,,,,,,
Frouds Bridge Marina,Electricity,RG7 4LH,51.394925,-1.151815,,,,,,
Frouds Bridge Marina,Mooring Overnight,RG7 4LH,51.394925,-1.151815,,,,,,
Frouds Bridge Marina,Sanitory Station,RG7 4LH,51.394925,-1.151815,,,,,,
Aldermaston Wharf,Mooring Overnight,RG7 4JS,51.40098041,-1.134956,,,,,,
Thames & Kennet Marina,Marina,RG4 6LQ,51.46233153,-0.950162492,,,,,,
Thames & Kennet Marina,Electricity,RG4 6LQ,51.46233153,-0.950162492,,,,,,
Thames & Kennet Marina,Self Use Pump Out,RG4 6LQ,51.46233153,-0.950162492,,,,,,
Swan,Public House,RG19 4QL,51.3951235,-1.245425527,,,,,,
Swan,Restaurant,RG19 4QL,51.3951235,-1.245425527,,,,,,
Dundas Arms,Public House,RG17 9UT,51.40042102,-1.447279206,,,,,,
Dundas Arms,Restaurant,RG17 9UT,51.40042102,-1.447279206,,,,,,
Tesco Hungerford Superstore,Food Shop,RG17 0DX,51.41520513,-1.51255704,,,,,,
Three Swans Hotel,Restaurant,RG17 0LZ,51.41483887,-1.515307415,,,,,,
Three Swans Hotel,Public House,RG17 0LZ,51.41483887,-1.515307415,,,,,,
Plume Of Feathers Inn,Public House,RG17 0NB,51.41391408,-1.515633531,,,,,,
Plume Of Feathers Inn,Restaurant,RG17 0NB,51.41391408,-1.515633531,,,,,,
Hogshead,Public House,RG14 5AN,51.40133334,-1.322763,,,,,,
Hogshead,Restaurant,RG14 5AN,51.40133334,-1.322763,,,,,,
Newbury Marina Boat Hire,Marina,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Diesel,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Electricity,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Gas,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Refuse Disposal,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Self Use Pump Out,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Sewage Disposal,RG14 5SG,51.40146353,-1.315904584,,,,,,
Newbury Marina Boat Hire,Water Point,RG14 5SG,51.40146353,-1.315904584,,,,,,
Greenham Lock Marina Ltd,Electricity,RG14 5SN,51.40312635,-1.312717082,,,,,,
Greenham Lock Marina Ltd,Mooring Overnight,RG14 5SN,51.40312635,-1.312717082,,,,,,
Greenham Lock Marina Ltd,Sanitory Station,RG14 5SN,51.40312635,-1.312717082,,,,,,
Greenham Lock Marina Ltd,Laundry,RG14 5SN,51.40312635,-1.312717082,,,,,,
Lock Stock & Barrel,Public House,RG14 1AA,51.40201744,-1.324593546,,,,,,
Lock Stock & Barrel,Restaurant,RG14 1AA,51.40201744,-1.324593546,,,,,,
Lock Stock & Barrel,Wi Fi,RG14 1AA,51.40201744,-1.324593546,,,,,,
Bel & The Dragon,Restaurant,RG1 3EQ,51.45576875,-0.958372965,,,,,,
