X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,ANGLE,FL_DESC,GlobalID
-2.140110876382078,51.347469003564854,1312,KA-097-001,"Lock 16, Harris Lock",KA-09700,010,192,"KA-097-001 Lock 16, Harris Lock",178fbcdb-c28a-4eee-ac19-20d57646c040
-2.251929851759142,51.341184323457064,1313,KA-106-004,"Lock 14, Bradford On Avon Lock",KA-10591,010,245,"KA-106-004 Lock 14, Bradford On Avon Lock",3cd5c1ae-7ee7-4853-8705-b600e96eff1a
-2.349022027828043,51.380451548692527,1314,KA-121-002,"Lock 13, Bath Top Lock",KA-12060,010,87,"KA-121-002 Lock 13, Bath Top Lock",5aca39f0-a297-4753-9633-0136b3104fa5
-2.348936600739467,51.37978064689473,1315,KA-121-004,"Lock 12, Pulteney Gardens Lock",KA-12070,010,86,"KA-121-004 Lock 12, Pulteney Gardens Lock",b068451f-e452-4492-a810-1a4df3951fbb
-2.349178796421541,51.378918492497561,1316,KA-121-005,"Lock 11, Horse Shoe Bridge Lock",KA-12080,010,133,"KA-121-005 Lock 11, Horse Shoe Bridge Lock",f9e7e7c6-1241-4025-ae66-a53d0c6b0694
-2.35133547984048,51.377199413602803,1317,KA-121-009,"Lock 10, Wash House Lock",KA-12101,010,130,"KA-121-009 Lock 10, Wash House Lock",259fa3aa-e972-4373-b28a-c1769f2bd86d
-2.35236427991119,51.376938783517566,1318,KA-121-011,"Lock 8/9, Bath Deep Lock",KA-12110,010,190,"KA-121-011 Lock 8/9, Bath Deep Lock",4bb7c355-a021-4e59-abdb-0d07c7243b71
-2.354628770147394,51.377170244383016,1319,KA-121-015,"Lock 7, Bath Bottom Lock",KA-12124,010,190,"KA-121-015 Lock 7, Bath Bottom Lock",18de55b4-d65d-44b8-a397-f68e5479b10b
-2.396954872848927,51.38256925842402,1320,KA-125-001,"Lock 6, Weston Lock",KA-12464,010,193,"KA-125-001 Lock 6, Weston Lock",8bc9465a-300a-4ba0-aa5a-2d09cdc63373
-2.448786198692094,51.400577680774681,1321,KA-129-002,"Lock 5, Kelston Lock",KA-12971,010,215,"KA-129-002 Lock 5, Kelston Lock",3e842acb-4212-4023-98f7-1fded8163958
-2.443082358371977,51.409695126333077,1322,KA-131-003,"Lock 4, Saltford Lock",KA-13106,010,313,"KA-131-003 Lock 4, Saltford Lock",202ac2b3-5be7-4c01-9aa3-4185e8d13958
-1.624858017325119,51.358641360062627,1323,KA-055-009,"Lock 60, Crofton Lock",KA-05578,010,312,"KA-055-009 Lock 60, Crofton Lock",75829f6d-c64b-4d11-a155-fd4d36acf8d8
-1.628038721777476,51.357499601188067,1324,KA-055-017,"Lock 59, Crofton Lock",KA-05607,010,356,"KA-055-017 Lock 59, Crofton Lock",1405c6d7-7a3e-4017-b2c8-d98e5c87de6c
-1.640280117154762,51.358835834996619,1325,KA-056-005,"Lock 56, Crofton Lock",KA-05693,010,360,"KA-056-005 Lock 56, Crofton Lock",6c8c5084-d259-4ad2-95bb-ef69670d1cf6
-1.635801834902076,51.358351537358963,1326,KA-056-004,"Lock 57, Crofton Lock",KA-05661,010,27,"KA-056-004 Lock 57, Crofton Lock",40ac227b-e44e-4375-9e83-307798d6e293
-1.63184365204603,51.357600090542604,1327,KA-056-003,"Lock 58, Crofton Lock",KA-05633,010,7,"KA-056-003 Lock 58, Crofton Lock",cc0d451d-32a1-4513-8c14-9ceb582efec5
-1.644164467477601,51.359063328408887,1328,KA-057-002,"Lock 55, Crofton Top Lock",KA-05718,010,9,"KA-057-002 Lock 55, Crofton Top Lock",e13f5bed-8eb8-4ac8-a867-636ac36e885d
-1.696770116841151,51.36960221943675,1329,KA-061-001,"Lock 54, Cadley Lock",KA-06122,010,178,"KA-061-001 Lock 54, Cadley Lock",9c97e7ce-48e9-4964-b1be-8fac1ec839cf
-1.700246265512364,51.369485192763214,1330,KA-061-003,"Lock 53, Brimslade Lock 53",KA-06144,010,173,"KA-061-003 Lock 53, Brimslade Lock 53",f5413def-d498-44d9-9aa0-5b26a1665297
-1.711385085777914,51.367388198579711,1331,KA-062-001,"Lock 52, Heathy Close Lock",KA-06226,010,150,"KA-062-001 Lock 52, Heathy Close Lock",0033cec5-2d34-462b-9c46-3725bb2e287f
-1.716186708532288,51.365202803327527,1332,KA-062-003,"Lock 51, Wootton Rivers",KA-06226,010,138,"KA-062-003 Lock 51, Wootton Rivers",7fba1d80-9537-418f-9182-bb1531be47f1
-2.000592177640977,51.354499648026149,1333,KA-087-002,"Lock 50, Kennet Lock (Top Lock)",KA-08696,010,150,"KA-087-002 Lock 50, Kennet Lock (Top Lock)",75ff2c8a-a384-4d53-8c82-a8921c2bc81b
-2.00464506897911,51.353504344996402,1334,KA-087-004,"Lock 49, Maton Lock",KA-08725,010,165,"KA-087-004 Lock 49, Maton Lock",0ead6b2e-e2ed-430e-8235-665a9401fe9c
-2.007431104899581,51.353087729701969,1335,KA-087-005,"Lock 48, Trust Lock",KA-08745,010,167,"KA-087-005 Lock 48, Trust Lock",c9c2a52e-c2a0-4e0e-89eb-45b7112f4c71
